instant,dteday,season,year,month,holiday,weekday,workingday,weathersit,temp,atemp,humidity,windspeed,casual,registered,cnt,day_type,kategori_suhu
1,2011-01-01,Spring,0,1,no,Saturday,no,Misty,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,Weekend,Sejuk
2,2011-01-02,Spring,0,1,no,Sunday,no,Misty,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,Weekend,Sejuk
3,2011-01-03,Spring,0,1,no,Monday,yes,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349,Workingday,Dingin
4,2011-01-04,Spring,0,1,no,Tuesday,yes,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562,Workingday,Dingin
5,2011-01-05,Spring,0,1,no,Wednesday,yes,Clear,9.305237,11.4635,43.695699999999995,12.522300000000001,82,1518,1600,Workingday,Dingin
6,2011-01-06,Spring,0,1,no,Thursday,yes,Clear,8.378268,11.66045,51.8261,6.0008684,88,1518,1606,Workingday,Dingin
7,2011-01-07,Spring,0,1,no,Friday,yes,Misty,8.057402,10.44195,49.8696,11.304642,148,1362,1510,Workingday,Dingin
8,2011-01-08,Spring,0,1,no,Saturday,no,Misty,6.765000000000001,8.1127,53.5833,17.875868,68,891,959,Weekend,Dingin
9,2011-01-09,Spring,0,1,no,Sunday,no,Clear,5.671653,5.80875,43.416700000000006,24.25065,54,768,822,Weekend,Dingin
10,2011-01-10,Spring,0,1,no,Monday,yes,Clear,6.184153,7.5443999999999996,48.2917,14.958889,41,1280,1321,Workingday,Dingin
11,2011-01-11,Spring,0,1,no,Tuesday,yes,Misty,6.9327309999999995,9.5732,68.6364,8.182844000000001,43,1220,1263,Workingday,Dingin
12,2011-01-12,Spring,0,1,no,Wednesday,yes,Clear,7.0818069999999995,8.02365,59.954499999999996,20.410009,25,1137,1162,Workingday,Dingin
13,2011-01-13,Spring,0,1,no,Thursday,yes,Clear,6.765000000000001,7.544149999999999,47.0417,20.166999999999998,38,1368,1406,Workingday,Dingin
14,2011-01-14,Spring,0,1,no,Friday,yes,Clear,6.59567,9.42065,53.7826,8.478716,54,1367,1421,Workingday,Dingin
15,2011-01-15,Spring,0,1,no,Saturday,no,Misty,9.566653,12.4056,49.875,10.583521,222,1026,1248,Weekend,Dingin
16,2011-01-16,Spring,0,1,no,Sunday,no,Clear,9.498347,11.71085,48.375,12.625010999999999,251,953,1204,Weekend,Dingin
17,2011-01-17,Spring,0,1,yes,Monday,no,Misty,7.209153,8.838550000000001,53.75,12.999139,117,883,1000,Holiday,Dingin
18,2011-01-18,Spring,0,1,no,Tuesday,yes,Misty,8.883347,11.61665,86.16669999999999,9.833924999999999,9,674,683,Workingday,Dingin
19,2011-01-19,Spring,0,1,no,Wednesday,yes,Misty,11.979134,14.921100000000001,74.1739,13.957239,78,1572,1650,Workingday,Sejuk
